id,title,year,genre,duration
182,Айдахо для меня одного,1991,2,99
183,Айна,1930,2,72
184,Айналайын,1990,2,72
185,Айрик,1972,3,78
186,Айрис,2001,2,90
187,Айседора,1968,2,140
188,Айя,1987,3,100
189,Академик из Аскании,1961,4,100
190,Академия ведьм,1994,1,90
191,Академия порока 5,1996,1,88
192,Академия Рашмор,1998,1,89
193,Академия смерти,2004,2,110
194,Аквамарин,2006,1,103
195,Акира,1987,11,124
196,Аккаттоне!,1961,2,120
197,Аккомпаниаторша,1993,2,111
198,Аккумулятор,1994,8,102
199,Акселератка,1987,1,176
200,Акт мести,1985,2,96
201,Актеры,2000,2,99
202,Актриса,1943,3,75
203,Актриса,1953,2,89
204,Акула,1981,11,87
205,Акула-монстр,1984,6,90
206,Акулы,1982,5,68
207,Акулы,1999,11,92
208,Акулы 2,2000,11,89
209,Акулы 3D,2004,5,42
210,Акулы! В дикой природе: пираты глубин,1981,5,88
211,Акулы: машина смерти,1978,5,51
212,Акция,1987,13,91
213,Акция смерти,1997,11,101
214,Аладдин,1992,16,90
215,Аладдин: арабские приключения Аладдина,1994,16,200
216,Аладдин: арабские приключения. Джин в бутылке,1994,16,42
217,Аладдин: арабские приключения. Тайные сокровища,1994,16,42
218,Аладдин-99,1996,1,84
219,Аламбриста!,1977,2,110
220,Аламо,1960,15,161
222,Алая буква,1995,2,134
223,Алая буква,1972,2,86
224,Алекс в стране чудес,1970,1,110
225,Алекс и Эмма,2003,1,96
226,Александр,2004,11,175
228,Александр Невский,1938,2,111
229,Александр Пархоменко,1942,15,90
230,Александр Рэгтайм Бэнд,1938,7,104
231,Александр. Невская битва,2008,2,230
232,Александра,2007,2,90
233,Аленка,1961,1,89
234,Аленький цветочек,1952,16,40
235,Аленький цветочек,1977,16,66
236,Алеша Попович и Тугарин Змей,2004,9,72
237,Алешкина любовь,1960,3,88
238,Алжир,1938,11,95
239,Али,2001,2,85
240,Али,2001,11,156
241,Али-баба и сорок разбойников,1944,11,87
242,Али-баба и сорок разбойников,1983,16,73
243,Али-баба и сорок разбойников,1959,16,28
244,Алиби,2005,1,90
245,Алиса в городах,1974,2,110
246,Алиса в стране чудес,1999,16,134
247,Алиса в стране чудес,1951,16,74
248,Алиса в стране чудес,2010,13,201
249,Алиса здесь больше не живет,1975,2,113
250,Алиса и букинист,1992,4,76
251,"Алла Пугачева: &quot;Не делайте мне больно, господа",1995,7,66
252,Аллан Куотермейн и потерянный Город Золота,1986,11,98
253,Аллигатор,1980,6,94
254,Аллигатор-гигант,1981,6,85
255,Алмаз смерти,1996,11,89
256,Алмазная тропа,1978,13,260
257,Алмазы для Марии,1975,4,76
258,Алмазы шаха,1994,4,112
259,Алое и черное,1983,2,143
260,Алтарь зла,1987,6,89
261,Алые паруса,1961,3,88
262,Алый знак доблести,1951,15,69
264,Алый рассвет,1992,4,98
265,Альбино аллигатор,1996,2,93
266,Алькатрас: вся шокирующая история,1980,2,200
267,Альфа Дог,2006,4,122
268,Альфавиль,1964,2,99
269,Альфонс,1993,1,74
270,"Альфредо, Альфредо",1971,1,104
271,Алюминиевые человечки,1987,1,99
272,Аляска,1996,11,96
273,"Аляска, сэр!",1992,1,102
274,Амадей,1984,2,157
275,Амазония,1999,8,85
276,Амазонка в огне,2000,11,91
277,Амазонки золотого храма,1986,11,81
279,Амазонки на Луне,1987,1,85
280,Аманда,1996,3,87
281,Аманда и инопланетянин,1995,8,93
282,Амаркорд,1973,1,126
283,Амбер навсегда,1947,11,130
284,Амели,2001,1,120
285,Амелия Эрхарт: последний полет,1994,11,95
286,Америка,1995,2,112
287,"Америка, Америка",1963,2,174
288,Американец,1992,11,86
289,Американец в Париже,1951,7,113
290,Американка,1997,3,90
291,Американская готика,1988,6,90
292,Американская девственница,2000,1,88
293,Американская дочь,1995,3,98
294,Американская история Икс,1998,4,119
295,Американская мечта,1981,2,99
296,Американская мечта,1990,5,98
297,Американская мечта,1966,4,102
298,Американская мечта,2006,1,107
299,Американская ночь,1973,2,120
300,Американская рапсодия,2000,3,102
301,Американская рулетка,1988,11,101
302,Американская трагедия,2008,2,768
303,Американская школа,1983,1,99
304,Американские бродяги,1996,11,94
305,Американские герои,2001,11,93
306,Американские горки,1997,4,114
307,Американские граффити,1973,1,110
308,Американские драконы,1996,11,300
309,Американские Коммандос,1985,11,88
310,Американские молнии,1985,2,112
311,Американские часы,1995,2,90
312,Американский бизон,1996,2,87
313,Американский вампир,1991,6,89
314,Американский гимн,1986,2,99
315,Американский гражданин,1994,2,84
316,Американский дедушка,1993,1,72
317,Американский дракон,1993,11,88
318,Американский друг,1977,4,127
319,Американский Жиголо,1980,3,117
320,Американский киборг Стальной Воин,1992,11,95
321,Американский кикбоксер,1990,11,88
322,Американский ниндзя,1985,11,95
323,Американский ниндзя II - конфронтация,1987,11,96
324,Американский ниндзя III - кровавая охота,1989,11,90
325,Американский ниндзя IV: полное уничтожение,1991,11,96
326,Американский ниндзя V,1992,11,97
327,Американский оборотень в Лондоне,1981,6,97
328,Американский оборотень в Париже,1997,6,95
329,Американский пирог,1999,1,92
330,Американский пирог 2,2001,1,105
331,Американский пирог: Свадьба,2003,1,97
332,Американский полицейский,1994,11,85
333,Американский президент,1995,3,107
334,Американский психопат,2000,6,97
335,Американский психопат 2: стопроцентная американка,2002,6,85
336,Американский самурай,1992,11,94
337,Американский хвостик,1986,16,81
338,Американский Шаолинь: Король кикбоксинга II,1991,11,106
339,Американский якудза,1993,11,91
340,Американский якудза 2,1994,11,84
341,Американское безумие,1932,2,74
342,Американское великолепие,2003,1,101
343,Американское сердце,1992,2,114
344,Американское убийство,1988,4,84
345,Американцы,1992,2,120
346,Америкэн бой,1992,11,116
347,Амистад,1997,2,147
348,Амнезия,2004,17,97
349,Амнезия,1996,4,84
350,Амнистия,1981,1,79
351,Аморальное поведение,1993,2,93
353,Амстердамское убийство,1977,11,90
354,Амуланга,1987,2,75
355,Анаис,1997,6,262
356,Анаконда,1996,11,86
357,Анаконда 2: Охота за Проклятой орхидеей,2004,13,97
358,Анализируй то!,2002,1,96
359,Анализируй это,1999,1,103
360,"Ананасовый экспресс: сижу, курю",2008,1,261
361,Анастасия,1997,16,89
362,Анастасия,1956,2,104
363,Анастасия: тайна Анны,1986,2,200
364,Анатомия,2000,4,95
365,Анатомия любви,1972,3,87
367,Анатомия убийства,1959,2,159
368,Ангар 18,1980,8,97
369,Ангел,2007,2,134
370,Ангел,2007,9,6
371,Ангел за моим столом,1990,2,151
372,Ангел мести,2002,11,96
373,Ангел на дорогах,2003,1,520
374,Ангел на обочине,2004,2,267
375,Ангел ночи,1990,6,88
377,Ангел разрушения,1994,11,86
378,Ангел смерти,1987,11,90
379,Ангел ярости,1992,11,77
380,Ангел-А,2005,1,88
381,Ангел-истребитель,1962,2,95
383,Ангелочек,1995,2,99
384,Ангелочек,1983,11,94
385,Ангелочек 3: Последняя глава,1988,11,98
386,Ангелочек 4: В подполье,1993,4,94
387,"Ангелочек, сделай радость",1992,2,88
388,Ангел-хранитель,2000,8,91
389,Ангелы ада на колесах,1967,11,95
390,Ангелы возмездия,2006,2,100
391,Ангелы города,1989,4,89
392,Ангелы здесь не живут,2000,4,90
393,Ангелы и демоны,2009,4,216
394,Ангелы и насекомые,1996,2,118
395,Ангелы над Бродвеем,1940,2,77
396,Ангелы с грязными лицами,1938,3,95
397,Ангелы у кромки поля,1994,2,102
398,Ангелы Чарли,2000,11,98
399,Ангелы Чарли: Только вперед,2003,11,106
400,Ангелы черного пояса,1995,11,81
401,Ангельские глазки,1991,3,90
402,Ангельское личико,1953,4,91
403,Английский пациент,1996,2,162
404,Английский цирюльник,2000,1,87
405,Англичанин,1999,11,85
406,Англичанин за границей,1984,2,60
407,"Англичанин, который поднялся на холм, а спустился с горы",1995,1,95
408,Ангус,1995,1,90
409,Андалузский пес,1928,2,33
410,Андеграунд,1995,2,163
411,Андерсен. Жизнь без любви,2006,18,155
414,Андрей Миронов. Обыкновенное чудо,2006,5,52
415,Андрей Рублев,1966,2,189
416,Андроид,1982,8,79
417,Андрэ,1994,11,96
418,Анекдоты,1990,1,72
419,Анжелика - маркиза ангелов,1964,11,104
420,Анжелика и король,1966,11,99
421,Анжелика и султан,1967,11,104
422,Анискин и Фантомас,1974,1,130
423,"Анкор, еще анкор!",1992,1,101
424,Анна,1987,2,99
425,Анна,2005,2,100
426,Анна и командор,1974,3,85
427,Анна и король,1999,3,142
428,Анна и король Сиама,1946,2,128
429,Анна Карамазофф,1991,2,123
430,Анна Каренина,2007,2,29
431,Анна Каренина,1967,2,145
432,Анна Каренина,1935,2,95
433,Анна Каренина,2008,2,160
434,Анна Каренина,1974,2,80
435,Анна Каренина,1953,3,165
