id,title,year,genre,duration
2808,Глаз,2008,2,276
2809,Глаз 2,2004,2,99
2810,Глаз бога,1997,4,79
2811,Глаз волка,1994,11,95
2812,Глаз волка 2: переход на север,1995,11,97
2813,Глаз кошки,1969,4,101
2814,Глаз незнакомца,1992,11,96
2815,Глаз орла,1987,11,84
2816,Глаз орла II: внутри врага,1989,11,89
2817,Глаз тигра,1986,11,90
2819,Глаза,1992,3,77
2820,Глаза без лица,1959,6,94
2821,Глаза в спальне,1984,4,90
2822,Глаза в спальне II,1989,4,85
2823,Глаза змеи,1998,4,94
2825,Глаза Лауры Марс,1978,4,103
2826,Глаза незнакомца,1981,4,85
2827,Глаза огня,1985,6,86
2828,Глаза страха,2006,6,95
2829,Глаза убийцы,2000,4,102
2830,Глазами наблюдателя,1992,4,89
2831,Глазами убийцы,1992,4,94
2832,Глазной белок,1987,4,110
2833,Гласс. Портрет Филипа в 12 частях,2007,5,115
2834,Глен и Рэнда,1986,8,94
2835,Глитц,1988,11,99
2836,Глория,1999,4,102
2837,Глория,1980,4,123
2838,Глубина,2002,2,105
2840,Глубоко внизу,1993,4,81
2841,Глубоководная звезда Шесть,1989,6,109
2842,Глубокое погружение,2000,8,87
2843,Глубокое синее море,1999,11,104
2844,Глубокое синее море,1955,2,98
2845,Глупец и его деньги,1989,1,80
2846,"Глупый, но дисциплинированный",1979,1,98
2847,Глухой квартал,1999,1,109
2848,Глушитель,1999,11,92
2849,Глюки,2006,2,102
2850,Глядя друг на друга,1982,2,102
2851,Глянец,2007,1,117
2852,Гнев,1995,11,95
2853,Гнев,2004,13,146
2854,Гнев,1964,19,95
2855,Гнев господний,1972,11,111
2856,Гнев женщины,2008,4,90
2857,Гнездо,1988,8,88
2858,Гнездо жаворонка,2007,2,122
2859,Гном по имени Гнорм,1990,8,85
2860,Гнусное предложение,1996,3,93
2861,Гоблины,1988,6,89
2862,Говардз Энд,1992,2,140
2863,Говард-утка,1986,8,111
2864,Говори мне о любви,1986,2,110
2865,Говорун,1986,16,93
2866,Говорящая обезьяна,1991,1,79
2867,Говорящие с ветром,2002,11,134
2868,Год дракона,1985,11,136
2869,Год кометы,1992,1,91
2870,Год лошади - созвездие Скорпиона,2004,2,142
2871,Год опасной жизни,1982,2,115
2872,Год оружия,1991,11,107
2873,Год Собаки,1994,2,122
2874,Год спокойного солнца,1984,11,292
2875,Год теленка,1986,1,76
2876,Год хорошего ребенка,1991,16,84
2877,"Год, когда у меня сломался голос",1987,2,102
2878,Годзилла,1998,11,140
2879,Годзилла и пришелец из космоса,1995,8,108
2880,Годзилла против Мекагодзиллы,1974,16,79
2881,Годзилла против Мекагодзиллы 2,1993,16,102
2882,"Годзилла, король чудовищ",1956,6,78
2883,Годовщина,1968,1,95
2884,"Годы металла: упадок западной цивилизации, часть II",1992,7,93
2885,Гойя,1999,2,99
2886,Гол 2. Жизнь как мечта,2007,2,115
2887,Гол!,2005,13,118
2888,Голая клетка,1982,11,97
2889,Голая мишень,1991,1,99
2890,Голая правда,1992,1,98
2891,Голая шпора,1953,19,91
2892,Голдфингер,1964,11,111
2893,Голландец,1967,2,55
2894,Голливудская мадам,1994,4,87
2895,Голливудские копы,2003,11,116
2896,Голливудский полицейский,1987,11,100
2897,Голливудский финал,2002,1,114
2898,Голливудское сафари,1997,11,86
2899,Голова в облаках,2004,2,132
2900,Голова-ластик,1977,2,89
2901,Головой о стену,2004,2,121
2902,Головокружение,1958,4,128
2903,Головоломка,1995,4,96
2904,Головоломка,1995,11,91
2905,Головоломка из тел,1993,4,97
2906,Головорез,1976,11,100
2907,Головы,1993,4,101
2908,Голографический человек,1995,8,96
2909,Голод,1966,2,112
2910,Голод,1983,6,97
2911,Голод,2008,2,100
2912,Голод 1,1997,6,136
2913,Голод 33,1991,2,99
2914,Голод 5,1997,6,142
2915,Гололед,2002,1,93
2916,Голос из могилы,1996,4,88
2917,Голос Луны,1990,2,120
2918,Голоса,1994,4,85
2919,Голосок,1998,1,96
2920,Голубая бездна,1988,2,115
2922,Голубая нота,1996,2,110
2923,Голубая река,1995,2,90
2924,Голубая стрела,1996,16,90
2925,Голубка,1974,11,104
2926,Голубоглазый Микки,1999,1,97
2927,Голубое пламя,1993,8,84
2928,Голубое Торнадо,1991,8,87
2929,Голубой велосипед,2000,3,269
2930,Голубой гром,1983,11,109
2931,Голубой Карбункул,1979,4,72
2932,Голубой Макс,1966,15,155
2934,Голый барабанщик,2008,1,102
2935,Голый в Нью-Йорке,1994,2,90
2936,Голый остров,1961,2,90
2937,Голый пистолет,1988,1,85
2938,Голый пистолет 2 1/2: запах страха,1991,1,85
2939,Голый пистолет 33 1/3: последний выпад,1994,1,79
2940,Голый свидетель,2001,4,85
2942,Гомер и Эдди,1989,1,98
2943,Гомо эректус,2007,1,88
2944,Гоморра,2008,4,135
2945,Гонгофер,1992,1,98
2946,Гонин,1995,11,120
2947,Гонин 2,1996,11,104
2948,Гонка,1998,1,80
2949,Гонка Шейкера,1985,11,90
2950,Гонки &quot;Пушечное ядро,1981,1,95
2951,Гонки &quot;Пушечное ядро&quot; II,1984,1,108
2952,Гонки по вертикали,1983,4,198
2953,Гонки по краю пропасти,1988,11,99
2954,Гонки по кругу,1991,2,100
2955,Гонки с дьяволом,1975,6,88
2956,Гонки с луной,1984,1,108
2957,Гонконг \'97,1994,11,91
2958,Гонщик,2001,11,116
2959,Гонщик серебряной мечты,1980,2,111
2960,Гонщики,1994,11,88
2961,Гонщики NASCAR 3D,2004,5,32
2962,Гора мужества,1989,16,97
2963,Гора самоцветов,2006,9,65
2964,Гора самоцветов 3,2008,9,66
2965,Гора сапог,1996,1,86
2966,Горбатая гора,2005,2,134
2967,Горбун из Нотр-Дама,1997,16,96
2968,Горбун собора Нотр-Дам,1996,16,84
2969,Горбун собора Нотр-Дам: Волшебные приключения Квазимодо,1996,16,81
2970,Горгульи: герои проснулись,1994,16,81
2971,Гордость,2007,2,194
2972,Гордость и предубеждение,2005,2,127
2973,Гордость и предубеждение,1996,3,304
2974,Гордость и слава,2008,4,125
2975,Гордость и страсть,1957,15,132
2976,Гордость моего отца,1990,2,110
2977,Горе от ума,2000,2,157
2978,Горец,1986,8,111
2979,Горец 2,1991,8,99
2980,Горец 3: последнее измерение,1994,8,95
2981,Горец 4. Конец игры,2000,8,84
2982,Горец: приключение начинается,1994,16,75
2983,Горец: сбор,1992,8,91
2984,Горечь любви,2001,4,104
2985,Гори все огнем,1996,4,99
2986,"Гори, Голливуд, гори",1997,11,81
2987,"Гори, гори, моя звезда",1969,1,94
2988,Горилла: загадка &quot;Черного дьявола,1981,5,57
2989,Гориллы в тумане,1988,2,134
2990,"Горит, моя барышня",1967,1,74
2991,Горничная с &quot;Титаника,1997,2,102
2992,Горнолыжники,1990,1,89
2993,Горнолыжники 2,1994,1,92
2994,Горный хрусталь,1984,1,111
2995,Город ангелов,1998,2,109
2996,Город без солнца,2005,2,101
2997,Город Бога,2002,4,130
2998,Город Бога 2,2007,2,106
2999,Город в огне,1979,11,100
3000,Город в страхе,1980,4,103
3001,Город говорит,1942,1,118
3002,Город грехов,2005,11,124
3003,Город женщин,1979,1,138
3004,Город Зеро,1988,2,103
3005,Город и деревня,2001,1,100
3006,Город колдунов,2003,9,76
3007,Город мастеров,1965,16,79
3008,Город надежды,1991,2,124
3009,Город новой преступности,1994,11,97
3010,Город потерянных детей,1995,2,112
3011,Город потерянных душ,2000,11,102
3012,Город призрак,1988,6,85
3013,Город слизи,1988,6,85
3014,Город страха,1984,4,96
3015,Город страха: семейная комедия,1996,1,100
3016,"Город счастья, штат Техас",1999,1,99
3017,Город удовольствий,1992,2,128
3018,Город Эмбер: побег,2008,13,187
3019,"Город, забытый Санта Клаусом",1993,16,46
3020,Город-компьютер,1994,16,67
3021,Городок: весенние жалобы,1995,1,60
3022,Городок: выпуск 4,1996,1,60
3023,Городок: выпуск 7,1998,1,66
3024,Городок: выпуск 8,1998,1,66
3025,Город-остров,1994,8,87
3026,Городские девчонки,2003,1,92
3027,Городские джунгли,1994,11,75
3028,Городские легенды,1998,6,96
3029,Городские легенды 2,2000,6,97
3030,Городские пижоны,1991,1,114
3031,Городские торпеды,1997,11,86
3032,Городской,1992,2,90
3033,Городской ковбой,1980,2,134
3034,Городской коммандо,1991,8,91
3035,Городской охотник,1992,1,92
3036,Гороскоп Иисуса Христа,1988,2,90
3037,Горчица бьет в нос,1982,1,91
3038,Горы высокой Сьерры,1941,2,96
3039,Горькая луна,1992,2,140
3040,Горькая месть,1994,4,90
3041,Горькая победа,1958,15,97
3042,Горький итог,1993,11,97
3043,Горький рис,1949,2,107
3044,Горький чай генерала Ена,1932,2,86
3045,Горько!,1998,1,96
3046,Горячая десятка: выпуск 1,1996,7,50
3047,Горячая картошка,1976,11,87
3048,Горячая кровь 2,1996,11,83
3049,Горячая точка,1990,4,130
3050,Горячая точка,1998,11,75
3051,Горячая точка,1990,4,120
3052,Горячие головы,1991,1,85
3053,Горячие головы. Часть Вторая,1993,1,88
3055,Горячие новости,2004,11,88
3056,Горячие новости,2009,11,275
3057,Горячие парни,1999,11,92
3059,Горячий курорт,1984,1,92
3060,Горячий шоколад,1992,1,93
3061,Горящий порох,1995,11,87
3062,Госпиталь &quot;Британия,1982,1,115
3063,Господа офицеры: cпасти императора,2008,2,135
3064,Господин Бхарат,1996,11,147
3065,Господин Неприкасаемый,2007,5,92
3066,Господин оформитель,1988,6,101
3067,Господин Ошибка,1996,1,93
3068,Господня рыба,1991,1,83
3069,Госпожа горничная,2002,1,105
3071,Гостиничный номер,1992,2,97
3072,Гостинница &quot;Ямайка,1985,3,182
3073,Гостинница &quot;Ямайка,1939,4,98
3074,Гость,1994,1,109
3075,Гостья из будущего,1984,16,319
3076,Гостья из космоса,1991,8,94
3077,Гостья из прошлого,1994,4,91
3078,Государственная граница,1980,13,600
3079,Государственный беспредел,1991,11,91
3080,Государственный преступник,1964,4,91
3081,Госфорд-Парк,2001,1,137
3082,Готам,1988,4,92
3083,Готика,1986,6,90
3084,Готика,2003,6,95
3085,Готов!,1985,11,97
3086,Готовое платье,1994,1,122
3087,Готти,1996,11,118
3088,Грабитель банков,1993,1,94
3089,Грабитель банков,2009,4,199
3090,Градус Черной луны,1992,2,90
3091,Гражданин Икс,1995,4,104
3092,Гражданин Кейн,1941,2,119
3093,Гражданин Кон,1992,2,113
3094,Гражданка Руфь,1996,4,107
3095,Гражданский иск,1998,2,110
3096,Гран Торино,2008,11,116
3097,Грандиознейшее представление на Земле,1952,2,153
3098,Гранд-отель,1932,3,104
3099,Граница,2007,6,108
3100,Граница,1982,11,107
3101,Граница 1918,2007,2,114
3102,Граница рассвета,2008,2,100
3103,Грань безумия,2002,2,95
3104,Граф Монте Кристо,1975,2,102
3105,Граф Монте-Кристо,2002,11,131
3106,Граф Монте-Кристо,1955,11,188
3107,Граф Монте-Кристо,1998,11,384
3108,Граф Монтенегро,2006,13,120
3110,Графиня из Гонконга,1967,1,120
3111,Граффити,2006,1,110
3112,Грбавица,2006,2,90
3113,Грегори Мулин против человечества,2001,1,90
3114,Грейс ушла,2007,2,171
3115,"Грейсток: Легенда о Тарзане, повелителе обезьян",1984,11,128
3116,Грек Зорба,1964,2,145
3117,Греко-персидские войны,1996,5,49
3118,Гремлины,1984,8,111
3119,Гремлины 2: новая партия,1990,8,104
3120,Грех,1992,4,79
3121,Грех Мадлон Клоде,1931,3,75
3122,Грехи отца,2001,17,111
3124,Греческие каникулы,2005,13,100
3125,Греческий магнат,1978,3,112
3126,Грешная жизнь,1989,1,90
3127,Грешник,1988,1,78
3128,Греясь на дьявольском огне,2003,5,86
3129,Грибы,2006,6,86
3130,Гриль-бар &quot;На полпути,2002,2,106
3131,Гриль-бар &quot;Порох,1996,2,117
3132,Гриль-бар &quot;Сансет,1992,4,104
3133,Грим,1995,6,91
3134,"Гринч, похититель Рождества",2000,1,104
3135,Гринч: похититель рождества,2001,16,104
3136,Гроза,1933,2,85
3137,Гроза,1988,4,110
3138,Гроза муравьев,2006,13,88
3139,Гроздья гнева,1940,2,128
3140,Гроздья раздора,1997,1,88
3141,Грозовой перевал,1939,3,102
3142,Грозовой перевал,1971,3,104
3143,Грозовой перевал,1992,3,100
3144,Грозовой понедельник,1988,4,93
3145,Гром в пустыне,1998,11,83
3146,Гром в раю,1993,11,103
3147,Гром в раю 2,1994,11,98
3148,Гром в раю 3,1994,11,77
3149,Громобой,1996,11,110
3150,Громобой,2006,11,93
3151,Громобой и Быстроногий,1974,11,114
3152,Громовое сердце,1992,11,115
3153,Грот,2005,11,97
3154,Гротеск,1988,11,107
3155,Гротеск,1995,4,94
3156,Грубая огранка,1980,11,112
3157,Груз 200,2007,2,90
3158,Груз 300,1989,11,75
3159,Груз без маркировки,1984,11,92
3160,Группа &quot;Чэлленджеры,1994,16,97
3162,Групповой портрет в натюрморте,1993,5,16
3163,Грядет молочник,1986,4,89
3164,Грязная дюжина,1967,11,149
3165,Грязная дюжина: следующее задание,1985,11,99
3166,Грязная дюжина: смертельное задание,1987,11,99
3167,Грязная дюжина: фатальное задание,1988,11,96
3168,Грязная игра,1978,1,116
3169,"Грязная Мэри, сумасшедший Ларри",1974,11,93
3170,Грязная работа,1998,1,78
3171,Грязные делишки,2002,1,110
3172,Грязные деньги,1996,11,94
3173,Грязные деньги,1993,11,77
3174,Грязные деньги,1972,11,97
3175,Грязные деньги,1996,4,89
3176,Грязные игры,1994,4,99
3177,Грязные прелести,2002,2,107
3178,Грязные снимки,2000,2,99
3179,Грязные танцы,1987,7,99
3180,Грязные танцы 2,2004,2,105
3181,Грязные танцы: один лишь взгляд,1989,3,219
3182,Грязный выпад,2006,1,100
3183,Грязный Гарри,1971,4,101
3184,Грязный маленький секрет,1998,2,95
3185,Грязный сезон,1985,4,102
3186,Грязный уикенд,1992,4,98
3187,Грязь и мудрость,2008,1,81
3188,Губительная любовь,1992,4,94
3189,Губка Боб Квадратные Штаны,2004,13,90
3190,Губная помада,1976,4,89
3191,Гувернантка,1997,3,110
3192,"Гуд бай, Ленин!",2003,1,121
3193,"Гудбай, Америка",1997,2,115
3194,Гудзонский ястреб,1991,11,95
3195,Гудини,1998,2,90
3196,Гуляю с кем хочу,1982,3,97
3197,"Гуляют, болтают",1997,1,81
3198,Гуманоид,1986,16,45
3199,Гуру,2002,1,94
3200,Гуру,1969,2,112
3201,Гуру,1996,11,134
3202,Гусарская баллада,1962,1,91
3203,Гусиная кожа,1995,6,162
3204,Гуфи: фильм,1995,16,77
3205,Да,1988,1,101
3206,Да будет жизнь!,1969,2,90
3207,Да здравствует любовь!,1994,2,118
3208,"Да сестричка, нет сестричка",2002,1,100
3209,"Да, Вирджиния, Санта Клаус существует",1994,3,90
3210,"Да, нет, наверное",2008,1,163
3211,Давай сделаем это легально,1951,1,76
3212,Давай спасем Гарри,1986,2,97
3213,Давай! Давай!,2000,2,93
3214,Давайте без фокусов!..,1992,1,73
3215,Давайте очистимся,1962,2,124
3216,Давайте потанцуем,2004,1,106
3217,Давайте потанцуем,1937,7,116
3218,Дави на газ!,2002,11,95
3221,Давилка,1994,6,106
3222,Давнишний компаньон,1990,2,96
3223,Дагон,2001,8,97
3224,Дадли справедливый,1999,1,85
3225,Даже девушки-ковбои иногда грустят,1993,1,95
3226,Даже не думай!,2003,1,82
3227,Даже не думай!! Тень независимости,2004,1,101
3228,Дайте жалобную книгу,1965,1,87
3230,Дакота,1988,2,90
3231,Далекая страна,1955,19,96
3232,Далекие казармы,1984,11,108
3233,Далекие мечты,1987,2,97
3234,Далекий гром,1988,2,114
3235,Далекий север,1988,2,90
3236,Далеко-далеко,1992,11,140
3237,Даллас,1950,19,95
3238,Дальние родственники,1992,4,88
3239,Дальний свет,2003,2,105
3240,Дальнобойщик и его жены,2008,1,352
3241,Дальше некуда,1976,1,97
3243,Дама с собачкой,1960,2,83
3244,Дама червей,1989,1,108
3245,Дамбо,1941,16,64
3246,Дамский клуб,1986,4,90
3247,Дамский портной,1990,2,84
3248,Дамский угодник,2000,1,90
3250,Дамы и гусары,1976,1,136
3251,Дамы приглашают кавалеров,1980,3,72
3252,Дангайо,1990,16,76
3253,Д\'Аннунцио,1986,2,122
3254,Дансер,2000,7,90
3255,Дантист,1996,6,93
3256,Дантист 2,1998,6,95
3257,Дантон,1982,2,136
3258,Дар,2000,2,111
3259,Дарби О\'Гилл и маленький народец,1959,16,93
3261,Дархэмские быки,1988,2,108
3262,Датч,1991,1,95
3263,Даун хаус,2001,1,95
3265,Дающий бессмертие,1990,8,96
3266,Два билета на дневной сеанс,1966,4,90
3267,Два бойца,1943,15,79
3268,Два брата,2004,13,109
3269,Два в одном,2007,2,124
3270,Два ворчливых старика,1993,1,101
3271,Два ворчливых старика II: один сварливее другого,1995,1,104
3272,Два гроша надежды,1952,1,110
3273,Два детских трупа,1994,4,90
3274,Два Джейка,1990,4,132
3275,Два дня в долине,1996,11,99
3276,Два жадных медвежонка,1954,16,10
3277,Два капитана,1955,11,97
3278,Два капитана 2,1992,2,65
3279,Два лета,2002,1,75
3280,Два мира,2007,1,105
3281,Два мула для сестры Сары,1969,19,104
3282,Два нуля,2004,1,90
3283,Два одиночества,1977,2,112
3284,Два убийцы,1998,4,102
3285,Два Федора,1958,3,83
3286,Два цвета времени,1996,2,100
3287,Двадцатое декабря,1981,2,276
3288,Двадцатый век,1978,2,311
3289,Двадцатый век,1976,2,315
3290,Двадцать долларов,1993,2,91
3291,Двадцать одно,2008,2,123
3292,Двадцать шесть дней из жизни Достоевского,1980,3,82
3293,Дважды в жизни,1985,1,117
3294,Дважды умерший,1988,6,87
3295,Две англичанки и континент,1971,2,108
3296,Две жизни,2000,6,100
3297,Две жизни Грея Эванса,2003,2,104
3298,"Две луны, три солнца",1998,2,88
3299,Две любви,1961,2,99
3300,Две недели в другом городе,1962,2,106
3301,Две ночи с Клеопатрой,1954,1,71
3302,Двенадцатая ночь,1955,1,85
3303,Двенадцатая ночь или что угодно,1996,1,128
3304,Двенадцатая осень,2001,2,287
3305,Двенадцать друзей Оушена,2004,1,125
3306,Двенадцать месяцев,1956,16,53
3307,Двенадцать обезьян,1995,2,129
3308,Двенадцать стульев,1971,1,161
3309,Двенадцать стульев,1976,1,288
3310,Двенадцать стульев,1970,1,94
3311,Двери,1993,8,84
3312,Дверь в полу,2004,2,111
3313,Дверь на сцену,1937,1,83
3314,Движущаяся мишень,1994,11,88
3315,Двое,1989,3,92
3316,Двое - это слишком,1995,1,115
3317,Двое в городе,1973,4,90
3318,Двое в пути,1967,2,112
3319,Двое заключенных,1996,3,151
3320,Двое и война,2007,2,100
3321,Двое из ларца,2006,4,528
3322,Двое из ларца 2,2008,13,552
3323,Двое на качелях,1962,2,119
3324,Двое скакали вместе,1961,19,108
3325,Двое у моря,1995,1,94
3326,Двое: я и моя тень,1995,3,97
3327,Двойная жизнь,1947,4,102
3328,Двойная жизнь,2000,4,95
3329,Двойная жизнь Вероники,1991,2,97
3330,Двойная игра,1998,4,90
3331,Двойная осечка,2001,1,101
3332,Двойная подстава,2001,4,96
3333,Двойная порция,2004,5,100
3334,Двойная рокировка,2002,4,101
3335,Двойная ставка,1993,11,94
3336,Двойная страховка,1944,4,106
3337,Двойник,1967,4,104
3338,Двойник,2001,11,101
3339,Двойник,1997,11,115
3340,Двойное наваждение,1993,4,85
3341,Двойное наказание,1996,4,87
3342,Двойное разоблачение,1993,4,91
3343,Двойное тело,1984,4,109
3344,Двойной агент,1993,1,95
3345,Двойной дракон,1994,8,96
3346,Двойной капкан,1985,4,126
3347,Двойной обман,1994,4,91
3348,Двойной просчет,1999,4,100
3349,Двойной удар,1991,11,109
3350,Двойной форсаж,2003,11,101
3351,Двойняшки,1984,1,104
3352,Двор,1999,2,90
3353,Дворецкий Боб,2006,1,90
3354,Дворец-тюрьма,1995,4,92
3355,Дворянское гнездо,1969,3,106
3356,Двуглавый орел,1948,2,95
3357,Двуликий убийца,2007,4,91
3358,Двуногий конь,2009,2,101
3359,Двухполосное шоссе,1971,11,101
3360,Двухсотлетний человек,1999,8,130
3361,Девичий источник,1959,2,88
3362,Девичник,1997,3,97
3363,Девичьи откровения,1995,1,93
3364,Девочка Джонни,1995,11,90
3365,Девочка и зайцы,1985,16,10
3366,Девочка из исправительной колонии,1994,11,79
3367,Девочка-Лисичка,2006,9,90
3368,Девочки,2005,5,46
3369,Девочки,1944,2,90
3370,Девочки в тюрьме,1995,4,79
3371,Девочки любят иначе,1996,2,93
3372,Девочки сверху,2001,1,90
3373,Девочки снова сверху,2004,1,88
3375,Девственницы-самоубийцы,1999,1,97
3376,Девственность,1976,1,100
3377,Девственность,2008,5,208
3379,Девушка без адреса,1957,1,85
3380,Девушка в  &quot;Кадиллаке,1995,1,88
3381,Девушка в парке,2007,2,109
3382,Девушка из воды,2006,2,110
3383,Девушка из Джерси,2004,1,103
3384,Девушка из долины,1983,3,95
3385,Девушка из Триеста,1982,3,97
3386,Девушка из Энсино,1996,1,92
3387,Девушка моего лучшего друга,2008,1,101
3388,Девушка моих кошмаров,2007,1,262
3389,Девушка на мосту,1998,3,88
3390,Девушка номер 6,1996,2,103
3391,Девушка с гитарой,1958,1,93
3392,Девушка с жемчужной сережкой,2003,2,95
3393,Девушка с коробкой,1927,1,60
3394,Девушка с обложки,1993,1,91
3395,Девушка с обложки,1944,7,104
3396,Девушка с характером,1939,1,87
3397,Девушка с чемоданом,1961,2,117
3398,Девушка спешит на свидание,1936,1,66
3399,Девушка у озера,2007,20,95
3400,"Девушка, которая слишком много знала",1963,6,92
3401,Девушки,1957,1,114
3402,Девушки в &quot;Кадиллаке,1993,2,96
3403,Девушки из Рошфора,1967,7,110
3404,Девушки мечты,2006,2,131
3405,Девушки с Дикого Запада,1995,19,178
3406,Девушки Харвея,1946,22,102
3407,Девчата,1961,1,97
3408,Девчонка-не-промах,1986,1,109
3409,Девятые врата,1999,18,128
3410,Девятый круг,1960,2,107
3411,Девять,2009,2,198
3412,Девять граммов обаяния,1987,1,80
3413,Девять дней одного года,1961,2,111
3414,Девять королев,2001,2,114
3415,Девять месяцев,1995,1,102
3416,Девять месяцев,1993,1,104
3417,Девять ярдов,2000,11,97
3418,Девять ярдов 2,2004,1,98
3419,Деде из Антверпена,1948,2,86
3420,Дежа вю,1989,1,103
3421,Дежа Вю,2006,11,128
3422,Дежурный папа,2003,1,92
3423,Дезертир,1996,11,70
3425,Дезорганизованная преступность,1989,1,97
3426,Действие по-американски,1989,11,89
3427,Действительно дикие животные: погружение в глубину морей,1993,5,55
3428,Действительно дикие животные: чудеса в Австралии,1993,5,53
3429,"Действуй, Маня!",1991,1,104
3430,Декабрьская невеста,1990,2,88
3431,Декалог,1988,2,499
3435,Декстер,2006,4,2160
3436,Дела в Нью-Джерси,1995,2,97
3437,Дела и дни Бенгальского Улана,1935,11,120
3438,Делай как надо!,1989,11,120
3439,Делай ноги,2006,13,109
3440,Дележ,2001,1,96
3441,Деликатесы,1991,1,97
3442,Дело &quot;смеющихся человечков,1999,4,95
3443,Дело 39,2008,17,181
3444,Дело № 306,1956,4,80
3445,Дело Бена Тайлера,1996,4,95
3446,Дело было в Пенькове,1957,3,99
3447,Дело вкуса,1997,6,26
3448,Дело вкуса,1999,4,90
3449,Дело душителей холмов,1989,4,96
3450,Дело жизни и смерти,1946,8,108
3451,Дело Иосифа Бродского,1991,5,141
3452,Дело Исайи,1995,2,110
3453,Дело Картье,1984,4,103
3454,Дело Маттеи,1972,4,116
3455,Дело Мэкомбера,1947,2,89
3456,Дело о пеликанах,1993,4,140
3457,Дело об убийстве,1996,4,156
3458,Дело Парадайна,1948,4,116
3459,Дело пестрых,1958,4,101
3460,Дело по обвинению: часть 1,1996,5,56
3461,Дело по обвинению: часть 2,1997,5,55
3462,Дело Румянцева,1955,4,102
3463,Деловая женщина,1988,1,120
3464,Деловой роман,1994,1,95
3465,Деловые люди,1963,1,79
3466,Дельта,2008,2,92
3467,Дельта,1996,2,84
3469,Дельфины и киты 3D,2008,13,42
3470,Дельцы,1989,2,92
3473,Демон сновидений,1988,6,89
3474,Демонические игрушки,1991,6,86
3475,Демон-любовник,2002,17,129
3476,Демон-полицейский,1989,6,78
3477,Демонстрация силы,1990,4,93
3479,Демоны,1986,6,89
3480,Демоны 2,1987,6,88
3481,Демоны прошлого,2007,4,90
3482,Демоны рассвета,1946,11,99
3483,Демоны Санкт-Петербурга,2008,2,118
3484,Денежная ловушка,1966,4,91
3485,Денежные короли,1998,2,90
3486,Деннис-мучитель,1993,1,94
3487,День ангела,1968,2,73
3488,День без мексиканца,2004,1,100
3489,День в смерти Джо Эгга,1972,1,108
3490,День восьмой,1996,2,118
3491,День всех святых,1978,6,93
3492,День всех святых 2,1981,6,92
3493,День всех святых 3: сезон ведьмы,1983,6,97
3494,День всех святых 4: возвращение Майкла Майерса,1988,6,88
3495,День всех святых 5: месть Майкла Майерса,1989,6,96
3496,День всех святых 6: проклятие Майкла Майерса,1995,6,246
3497,День выборов,2007,1,128
3498,День гнева,2007,4,384
3499,День гнева,1943,2,97
3500,День Д,2008,11,100
3501,День дельфина,1973,11,103
3502,День денег,2006,1,221
3503,День затмения,2000,11,97
3504,День и ночь,1997,3,106
3505,День и час,1962,15,108
3506,День кобры,1980,11,95
3507,День конца света,2001,6,86
3508,День Мартина,1985,11,97
3509,День мертвецов,1985,2,101
3510,День на скачках,1937,1,104
3511,День начинается,1939,2,88
3512,День независимости,1996,11,145
3513,День Ночь День Ночь,2006,4,94
3514,День отца,1997,1,99
3515,День пантеры,1987,11,84
3517,День победы,2006,2,111
3518,День покаяния,1973,3,98
3519,День покаяния,2002,11,95
3520,День полнолуния,1998,2,88
3521,День радио,2008,1,100
3522,День расплаты,1992,4,124
3523,День расплаты,1992,11,251
3524,День рождения Алисы,2009,9,80
3526,День рождения Элисон,1984,6,98
3527,День саранчи,1975,2,144
3528,День Святого Валентина,2001,6,92
3529,День Святого Валентина,1998,11,91
3530,День Святого Патрика,1997,2,106
3531,День сурка,1993,1,102
3532,День Триффидов,1963,8,95
3533,День Хомячка,2003,1,97
3534,День шакала,1973,4,140
3535,"День, когда Земля остановилась",2008,2,105
3536,"День, когда остановилась Земля",1951,2,92
3537,"День, когда сбежали мои родители",1994,1,93
3538,"День, когда стреляли в президента",2001,2,95
3539,Деньги,1983,4,85
3540,Деньги,1975,1,86
3541,Деньги,1991,4,98
3542,Деньги на двоих,2005,1,122
3543,Деньги решают все,1997,1,92
3544,"Деньги, деньги, еще деньги",1992,11,89
3545,Депрессия,1991,4,180
3546,Деревенская жизнь,1995,2,110
3547,Деревенщина в Беверли-Хиллз,1993,1,93
3548,Деревня,1984,2,109
3549,Деревня проклятых,1995,6,97
3550,Дерево Джошуа,1993,11,97
3551,Дерево для башмаков,1978,2,184
3552,Держаться вместе,1989,3,91
3553,Держи ритм,2006,2,108
3554,Держись до конца,2004,1,93
3555,Дерзкая девчонка,1993,2,92
3556,Дерзкие дни,2007,13,84
3557,Дерзкий,1994,11,114
3558,Дерсу Узала,1975,11,136
3559,Десперадо-Сити,1981,2,98
3560,Дестини включает радио,1995,11,99
3561,Дестри снова в седле,1939,19,94
3562,Десятая жертва,1965,8,92
3563,Десятое королевство,1999,16,249
3564,Десятое королевство 2,2000,8,176
3565,Десять дней без любви,2001,1,110
3567,Десять заповедей,2007,1,96
3568,Десять лет без права переписки,1990,4,97
3569,Десять негритят,1987,4,128
3571,Детектив,1968,2,114
3572,Детектив Шимпанский,1997,1,91
3573,Детективная история,1951,2,104
3574,Детектор лжи,1997,4,101
3575,Дети,1990,2,115
3576,Дети Биби,1992,16,93
3577,Дети Ванюхина,2005,3,416
3578,Дети века,1999,2,132
3579,Дети гнева,1975,2,106
3580,Дети дождя,2003,9,84
